current.gti,current.dni,current.diff_rad,current.short_rad,current.air_quality.gb-defra-index,current.air_quality.us-epa-index,current.air_quality.pm10,current.air_quality.pm2_5,current.air_quality.so2,current.air_quality.o3,current.air_quality.no2,current.air_quality.co,current.gust_kph,current.gust_mph,current.uv,current.vis_miles,current.vis_km,current.dewpoint_f,current.dewpoint_c,current.heatindex_f,current.heatindex_c,current.windchill_f,current.windchill_c,current.feelslike_f,current.feelslike_c,current.cloud,current.humidity,current.precip_in,current.precip_mm,current.pressure_in,current.pressure_mb,current.wind_dir,current.wind_degree,current.wind_kph,current.wind_mph,current.condition.code,current.condition.icon,current.condition.text,current.is_day,current.temp_f,current.temp_c,current.last_updated,current.last_updated_epoch,location.localtime,location.localtime_epoch,location.tz_id,location.lon,location.lat,location.country,location.region,location.name
15,0,16,43,3,2,33.05,26.95,8.35,77,15.45,494.85,8.6,5,0,1,2.5,54.7,12.6,67.6,19.8,67.6,19.8,63,17.2,0,77,0,0,30,1016,NE,41,4.3,2.7,1030,https://cdn.weatherapi.com/weather/64x64/day/143.png,Mist,1,63,17.2,10/12/2025 7:00,1760232600,10/12/2025 7:12,1760233348,Asia/Kolkata,75.8333,22.7167,India,Madhya Pradesh,Indore
0,0,0,0,2,1,21.35,15.25,3.25,21,31.85,179.85,8.1,5.1,0,6,10,44.5,7,52.9,12,53,11.7,46,8,100,100,0,0,30.5,1033,NE,54,4.7,2.9,1009,https://cdn.weatherapi.com/weather/64x64/night/122.png,Overcast,0,46.8,8.2,10/12/2025 2:45,1760233500,10/12/2025 2:50,1760233826,Europe/London,-0.1062,51.5171,United Kingdom,"City of London, Greater London",London
15,0,16,34,10,4,496.35,96.35,20.35,64,29.55,620.85,5.8,3.6,0,1,2,55.4,13,77.8,25,76,24.4,70,21,0,94,0,0,29.88,1012,NW,321,4,2.5,1030,https://cdn.weatherapi.com/weather/64x64/day/143.png,Mist,1,69.8,21,10/12/2025 7:15,1760233500,10/12/2025 7:24,1760234055,Asia/Kolkata,77.32,28.57,India,Uttar Pradesh,Noida
0,0,0,0,1,1,4.95,4.95,3.25,64,14.15,183.85,13.9,8.6,0,9,16,49.9,10,59,15,57.9,14.4,61,16,75,62,0,0,30.09,1019,ENE,57,9.7,6,1003,https://cdn.weatherapi.com/weather/64x64/night/116.png,Partly cloudy,0,61,16.1,10/11/2025 20:45,1760233500,10/11/2025 20:48,1760233734,America/Chicago,-87.65,41.85,United States of America,Illinois,Chicago
0,0,0,0,2,1,16.15,14.05,4.35,28,33.05,210.85,8.1,5,0,9,16,51,10.5,56,13,55.9,13.3,58,14,100,83,0,0,30.27,1025,SE,145,4.7,2.9,1009,https://cdn.weatherapi.com/weather/64x64/night/122.png,Overcast,0,57,13.9,10/11/2025 21:45,1760233500,10/11/2025 21:48,1760233734,America/New_York,-71.0603,42.3583,United States of America,Massachusetts,Boston
